,0,1,2,3,4,mean,std,type
std_dim3_mem - std_dim3_sur,0.004685332,0.0057665687,0.005644967,0.008560343,0.011724665,0.007276375,0.0025725616,diffPS3D
vsurf_DD13_mem - vsurf_DD13_sur,0.007926069,0.007021121,0.009784035,0.0066051176,0.0049696118,0.0072611915,0.0015840585,diffPS3D
npr2_mem,0.00891758,0.006651198,0.0056900484,0.0074971747,0.007480161,0.007247233,0.0010664772,PS3D
vsurf_HL1_mem - vsurf_HL1_sur,0.008364954,0.0050311894,0.0081447195,0.005641818,0.008723292,0.0071811946,0.0015297014,diffPS3D
dipole_sur,0.006809436,0.0067862975,0.0082203755,0.0077676773,0.0059795757,0.007112672,0.00079226494,PS3D
vsurf_DW12_mem,0.008438479,0.0054379543,0.007570639,0.0076842685,0.00641978,0.007110224,0.0010563114,PS3D
glob_sur - glob_wat,0.006567656,0.009765788,0.00582211,0.00371541,0.009643146,0.007102822,0.0023214573,diffPS3D
vsurf_Wp8_sur - vsurf_Wp8_wat,0.0068798615,0.008718287,0.008622434,0.00422408,0.0070131375,0.0070915604,0.001628694,diffPS3D
vsurf_EDmin2_wat,0.0046948753,0.007951947,0.007749011,0.00624693,0.008708112,0.007070175,0.0014311505,PS3D
opr_violation,0.0037967141,0.0028061222,0.010847156,0.011184517,0.0065984125,0.007046584,0.003473064,2D
SMR_VSA1,0.009297251,0.008986507,0.00524218,0.004765085,0.006683766,0.006994958,0.0018659165,2D
dE_vdw_mem - dE_vdw_sur,0.0067038736,0.009086526,0.0050970265,0.0077749183,0.006293691,0.0069912067,0.0013536302,diffPS3D
dipole_mem,0.007057987,0.009151606,0.005763952,0.0074456017,0.0048380992,0.0068514487,0.0014780138,PS3D
vsurf_DD12_sur,0.010373381,0.006216672,0.0046116267,0.0057512596,0.007142924,0.0068191723,0.001955194,PS3D
in_hbond_mem - in_hbond_wat,0.0075140567,0.0058269217,0.0059576486,0.0052193925,0.0093028825,0.00676418,0.0014780149,diffPS3D
vsurf_IW7_sur - vsurf_IW7_wat,0.006674399,0.0061881524,0.0074851043,0.007266465,0.005827469,0.006688318,0.0006261858,diffPS3D
mid_p_axis_sur - mid_p_axis_wat,0.0079252515,0.0053956574,0.0068040653,0.004103305,0.009155778,0.006676811,0.0017879801,diffPS3D
std_dim2_mem,0.005863461,0.005274784,0.009267784,0.005548561,0.007280212,0.006646961,0.0014814144,PS3D
E_sol_mem - E_sol_sur,0.0051110648,0.005129017,0.009439354,0.008534461,0.00499662,0.006642103,0.001936324,diffPS3D
vsurf_IW8_mem - vsurf_IW8_wat,0.0040940926,0.010025958,0.007820124,0.004408846,0.006716781,0.00661316,0.00220542,diffPS3D
dih_cos_sur_wat,0.006082837,0.007548876,0.0054537803,0.008135715,0.004879137,0.0064200684,0.0012360871,diffPS3D
vsurf_CW3_sur - vsurf_CW3_wat,0.00549185,0.0066123544,0.007462964,0.005745794,0.0058051147,0.0062236153,0.00072471227,diffPS3D
min_p_axis_mem - min_p_axis_sur,0.00575536,0.0060818726,0.006536494,0.0071439375,0.005473415,0.0061982158,0.00059056166,diffPS3D
vsurf_IW7_mem,0.006646705,0.0068190536,0.0045326375,0.006085757,0.005873031,0.0059914365,0.0008081259,PS3D
max_p_axis_sur - max_p_axis_wat,0.00715326,0.006657516,0.005067886,0.00705614,0.0038041673,0.005947794,0.0013080259,diffPS3D
vsurf_DD23_wat,0.0054879477,0.0034277043,0.0076446603,0.00783026,0.005020329,0.0058821803,0.0016627695,PS3D
vsurf_IW2_sur - vsurf_IW2_wat,0.0033675681,0.0062406524,0.005468366,0.0057412614,0.007932181,0.0057500056,0.0014668352,diffPS3D
vsurf_DD12_mem,0.0051374077,0.0037537676,0.008248105,0.0057273083,0.0037587963,0.0053250766,0.001653079,PS3D
vsurf_ID8_wat,0.0045277644,0.0062341406,0.0053286017,0.0050221547,0.0051976126,0.005262055,0.0005568243,PS3D
npr2_wat,0.0043920544,0.0051212097,0.0055125696,0.0052524507,0.0045365146,0.00496296,0.00042865076,PS3D
dipole_sur - dipole_wat,0.009399776,0.0042673736,0.0036608847,0.0043752934,0.0028157723,0.0049038203,0.002315291,diffPS3D
vsurf_IW8_mem - vsurf_IW8_sur,0.0037154383,0.0047490895,0.0045099617,0.0045158872,0.006230277,0.00474413,0.000821437,diffPS3D
in_hbond_sur - in_hbond_wat,0.006071412,0.0043461476,0.005202197,0.0038853786,0.0033292642,0.00456688,0.0009707836,diffPS3D
entropy_sur - entropy_wat,0.0036219342,0.0041807685,0.0048041865,0.0040518185,0.0042839195,0.0041885255,0.00038155293,diffPS3D
E_stb_sur,0.0009999356,0.00037635252,0.015589721,0.0036817275,0.0002192968,0.0041734064,0.0058429018,PS3D
out_hbond_mem,0.0029920503,0.0031392565,0.0037788842,0.0024308558,0.0029364184,0.0030554929,0.00043328665,PS3D
r_p_axis_sur,0.002222641,0.0026371188,0.002371389,0.00257217,0.002822784,0.0025252204,0.00020903975,PS3D
min_p_axis_mem,0.0014980477,0.0018878201,0.001734238,0.0021531992,0.002156688,0.0018859986,0.0002522734,PS3D
PEOE_VSA-3,0.0033421004,0.0,0.00082675624,0.00093448214,0.0011228557,0.0012452389,0.001116613,2D
E_stb_wat,0.00019955309,0.0010745035,0.00060183875,0.0009788021,0.0009338228,0.000757704,0.00032127576,PS3D
in_hbond_wat,0.00059629604,0.0005418747,0.00052012375,0.0005173032,0.0004778359,0.00053068675,3.876508e-05,PS3D
mutagenic,0.0,0.00076463673,0.0,0.0,0.0,0.00015292734,0.0003058547,2D
SlogP_VSA6,0.0,0.0,0.00042153345,0.0,0.0,8.430669e-05,0.00016861338,2D
SMR_VSA4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2D
PEOE_VSA-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2D
